subject_code,subject_name
CDI7,"VICE DRUG, PREVENTION & CONTROL"
CRIMIN 5,LIE DETECTION TECHNIQUES
CRIMIN 5,LIE DETECTION TECHNIQUES
CORR 2,NON-INSTITUTIONAL CORRECTION
CORR 2,NON-INSTITUTIONAL CORRECTION
CDI 9,ENVIRONMENTAL LAWS AND PROTECTION
CDI 9,ENVIRONMENTAL LAWS AND PROTECTION
EDPCK 1,METHODS OF TEACHING
EDPCK 1,METHODS OF TEACHING
CF 2,CHARACTER FORMATION 2
CF 2,CHARACTER FORMATION 2
IS 6,Real Estate Security Administration & Management
CLJ 5,EVIDENCE
IS7,"VICE DRUG, PREVENTION & CONTROL"
IS7,"VICE DRUG, PREVENTION & CONTROL"
IS8,EXECUTIVE PROTECTION MANAGEMENT
IS8,EXECUTIVE PROTECTION MANAGEMENT
IS 5,Security of Critical Infrastracture
MN 6,INTRODUCTION TO STATISTICS
CRISOC3,PROFESSIONAL CONDUCT AND ETHICAL STANDARD
CRISOC3,PROFESSIONAL CONDUCT AND ETHICAL STANDARD
OJT,INTERNSHIP
PEC 2,PROFESSIONAL ENHANCEMENT COURSE
PEC 2,PROFESSIONAL ENHANCEMENT COURSE
CRISOC 8,CRIMINOLOGICAL RESEARCH 2
OJT,INTERNSHIP
PEC 2,PROFESSIONAL ENHANCEMENT COURSE
CRISOC 8,CRIMINOLOGICAL RESEARCH 2
OJT,INTERNSHIP
PEC 2,PROFESSIONAL ENHANCEMENT COURSE
CRISOC 8,CRIMINOLOGICAL RESEARCH 2
PEC 2,PROFESSIONAL ENHANCEMENT COURSE
CRISOC 8,CRIMINOLOGICAL RESEARCH 2
PEC 2,PROFESSIONAL ENHANCEMENT COURSE
CRISOC 8,CRIMINOLOGICAL RESEARCH 2
IS 13,CRIME SCENE PROTECTION
IS 12,"CRIME PREVENTION, DETECTION & CONTROL"
